country code,zip,place name,admin name1,admin code1,admin name2,admin code2,admin name3,admin code3,lat,lon,accuracy
CH,8476,Unterstammheim,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Unterstammheim,42,47.6476,8.7897,6
CH,8477,Oberstammheim,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Ober-Stammheim,36,47.6284,8.8048,6
CH,8478,Thalheim an der Thur,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Thalheim an der Thur,39,47.582,8.7453,6
CH,8058,Z’_rich,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Kloten,62,47.4535,8.561,4
CH,8059,Z’_rich 59 Exchange Office,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Kloten,62,47.458,8.5853,4
CH,8060,Z’_rich,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Kloten,62,47.458,8.5853,4
CH,8065,Z’_rich,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Opfikon,66,47.3667,8.55,4
CH,8152,Opfikon,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Opfikon,66,47.431,8.5816,6
CH,8152,Glattpark (Opfikon),Kanton Z’_rich,ZH,Bezirk B’_lach,103,Opfikon,66,47.4209,8.5632,6
CH,8152,Glattbrugg,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Opfikon,66,47.4326,8.561,6
CH,8180,B’_lach,Kanton Z’_rich,ZH,Bezirk B’_lach,103,B’_lach,53,47.5307,8.5456,6
CH,8181,H’_ri,Kanton Z’_rich,ZH,Bezirk B’_lach,103,H’_ri,60,47.508,8.5009,6
CH,8182,Hochfelden,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Hochfelden,59,47.528,8.5085,6
CH,8183,B’_lach Dist Ba,Kanton Z’_rich,ZH,Bezirk B’_lach,103,B’_lach,53,47.5284,8.5089,4
CH,8184,Bachenb’_lach,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Bachenb’_lach,51,47.5011,8.5453,6
CH,8185,Winkel,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Winkel,72,47.4821,8.5583,6
CH,8192,Zweidlen,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Glattfelden,58,47.5695,8.4754,6
CH,8192,Glattfelden,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Glattfelden,58,47.5554,8.5022,6
CH,8193,Eglisau,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Eglisau,55,47.5723,8.523,6
CH,8194,H’_ntwangen,Kanton Z’_rich,ZH,Bezirk B’_lach,103,H’_ntwangen,61,47.5931,8.4982,6
CH,8195,Wasterkingen,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Wasterkingen,70,47.5965,8.472,6
CH,8196,Wil ZH,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Wil (ZH),71,47.6128,8.5007,6
CH,8197,Rafz,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Rafz,67,47.6082,8.5448,6
CH,8301,Glattzentrum b. Wallisellen,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Wallisellen,69,47.4292,8.6385,4
CH,8302,Kloten,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Kloten,62,47.4587,8.5821,6
CH,8303,Bassersdorf,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Bassersdorf,52,47.4402,8.6259,6
CH,8304,Wallisellen,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Wallisellen,69,47.4212,8.5963,6
CH,8305,Dietlikon,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Dietlikon,54,47.4249,8.6124,6
CH,8309,N’_rensdorf,Kanton Z’_rich,ZH,Bezirk B’_lach,103,N’_rensdorf,64,47.455,8.6512,6
CH,8423,Embrach-Embraport,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Embrach,56,47.5083,8.6083,4
CH,8424,Embrach,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Embrach,56,47.5104,8.6005,6
CH,8425,Oberembrach,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Oberembrach,65,47.4897,8.6336,6
CH,8426,Lufingen,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Lufingen,63,47.4826,8.5937,6
CH,8427,Rorbas,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Rorbas,68,47.5324,8.569,6
CH,8427,Freienstein,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Freienstein-Teufen,57,47.5321,8.5958,6
CH,8428,Teufen ZH,Kanton Z’_rich,ZH,Bezirk B’_lach,103,Freienstein-Teufen,57,47.5514,8.574,6
CH,8105,Watt,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Regensdorf,96,47.4439,8.4855,6
CH,8105,Regensdorf,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Regensdorf,96,47.4319,8.4658,6
CH,8106,Adlikon b. Regensdorf,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Regensdorf,96,47.4523,8.4602,6
CH,8107,Buchs ZH,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Buchs (ZH),83,47.4587,8.4406,6
CH,8108,D’_llikon,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,D’_llikon,84,47.439,8.4324,6
CH,8112,Otelfingen,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Otelfingen,94,47.4657,8.385,6
CH,8113,Boppelsen,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Boppelsen,82,47.4725,8.4052,6
CH,8114,D’_nikon ZH,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,D’_nikon,85,47.4444,8.4047,6
CH,8115,H’_ttikon,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,H’_ttikon,87,47.4411,8.3923,6
CH,8153,R’_mlang,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,R’_mlang,97,47.4485,8.5275,6
CH,8154,Oberglatt ZH,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Oberglatt,92,47.4804,8.5249,6
CH,8155,Niederhasli,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Niederhasli,90,47.4768,8.4865,6
CH,8155,Nassenwil,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Niederhasli,90,47.4675,8.471,6
CH,8156,Oberhasli,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Niederhasli,90,47.4608,8.4994,6
CH,8157,Dielsdorf,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Dielsdorf,86,47.4756,8.4552,6
CH,8158,Regensberg,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Regensberg,95,47.4757,8.4228,6
CH,8162,S’_nikon,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Steinmaur,101,47.4881,8.4272,6
CH,8162,Steinmaur,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Steinmaur,101,47.4996,8.4469,6
CH,8164,Bachs,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Bachs,81,47.5288,8.4257,6
CH,8165,Sch’_fflisdorf,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Sch’_fflisdorf,99,47.4996,8.4204,6
CH,8165,Schleinikon,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Schleinikon,98,47.4944,8.3911,6
CH,8165,Oberweningen,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Oberweningen,93,47.5037,8.4058,6
CH,8166,Niederweningen,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Niederweningen,91,47.4969,8.3746,6
CH,8172,Niederglatt ZH,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Niederglatt,89,47.4919,8.5008,6
CH,8173,Neerach,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Neerach,88,47.507,8.4753,6
CH,8174,Stadel b. Niederglatt,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Stadel,100,47.527,8.4698,6
CH,8175,Windlach,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Stadel,100,47.5478,8.4742,6
CH,8187,Weiach,Kanton Z’_rich,ZH,Bezirk Dielsdorf,104,Weiach,102,47.5535,8.4415,6
CH,8340,Hinwil,Kanton Z’_rich,ZH,Bezirk Hinwil,105,Hinwil,117,47.3029,8.8504,6
