P1,P2,P3,P4,P5,Label
11,7.5,5.75,0.00175,0.0005,1
5.75,11,9.25,0.001125,0.00175,1
9.25,9.25,11,0.00175,0.003,1
9.25,11,11,0.00175,0.002375,1
11,11,11,0.0005,0.002375,1
11,4,5.75,0.00175,0.001125,1
9.25,11,4,0.00175,0.001125,1
9.25,9.25,4,0.001125,0.003,1
11,11,11,0.00175,0.00175,1
9.25,5.75,9.25,0.001125,0.00175,1
7.5,9.25,11,0.001125,0.00175,1
11,9.25,9.25,0.00175,0.003,1
11,9.25,4,0.00175,0.0005,1
11,4,5.75,0.00175,0.00175,1
11,7.5,7.5,0.00175,0.0005,1
9.25,5.75,7.5,0.001125,0.00175,1
11,4,11,0.00175,0.001125,1
9.25,9.25,5.75,0.001125,0.00175,1
11,9.25,7.5,0.00175,0.00175,1
9.25,9.25,5.75,0.00175,0.0005,1
9.25,11,5.75,0.00175,0.001125,1
11,7.5,4,0.00175,0.0005,1
11,4,5.75,0.001125,0.003,1
11,4,4,0.001125,0.003,1
11,11,5.75,0.001125,0.00175,1
7.5,11,11,0.00175,0.00175,1
11,5.75,11,0.001125,0.00175,1
9.25,7.5,11,0.00175,0.001125,1
9.25,4,5.75,0.001125,0.003,1
11,9.25,9.25,0.001125,0.00175,1
11,11,7.5,0.001125,0.00175,1
11,4,9.25,0.00175,0.001125,1
9.25,5.75,4,0.00175,0.0005,1
9.25,5.75,11,0.001125,0.003,1
9.25,4,4,0.001125,0.003,1
9.25,11,5.75,0.00175,0.0005,1
9.25,9.25,11,0.00175,0.001125,1
9.25,7.5,7.5,0.00175,0.00175,1
11,7.5,4,0.001125,0.00175,1
11,9.25,5.75,0.001125,0.003,1
11,5.75,5.75,0.00175,0.0005,1
11,4,7.5,0.00175,0.0005,1
11,7.5,11,0.001125,0.00175,1
9.25,9.25,9.25,0.00175,0.002375,1
9.25,7.5,4,0.00175,0.00175,1
11,9.25,4,0.00175,0.00175,1
11,7.5,5.75,0.00175,0.00175,1
11,11,11,0.00175,0.002375,1
7.5,11,11,0.001125,0.003,1
9.25,9.25,4,0.001125,0.00175,1
11,11,4,0.001125,0.00175,1
4,11,9.25,0.00175,0.0005,1
7.5,11,9.25,0.001125,0.00175,1
9.25,11,5.75,0.00175,0.00175,1
9.25,7.5,11,0.00175,0.0005,1
11,7.5,7.5,0.00175,0.00175,1
11,11,9.25,0.0005,0.002375,1
7.5,9.25,9.25,0.00175,0.001125,1
11,11,5.75,0.001125,0.003,1
11,5.75,4,0.001125,0.003,1
9.25,11,11,0.0005,0.003,1
9.25,9.25,9.25,0.001125,0.00175,1
11,4,5.75,0.00175,0.0005,1
9.25,5.75,11,0.001125,0.00175,1
9.25,4,9.25,0.00175,0.001125,1
9.25,5.75,5.75,0.00175,0.001125,1
7.5,9.25,9.25,0.00175,0.0005,1
9.25,7.5,9.25,0.001125,0.003,1
11,5.75,4,0.00175,0.00175,1
5.75,9.25,11,0.00175,0.001125,1
11,11,4,0.00175,0.0005,1
11,7.5,4,0.00175,0.001125,1
11,4,11,0.001125,0.00175,1
11,9.25,4,0.001125,0.003,1
5.75,11,11,0.00175,0.001125,1
11,11,5.75,0.00175,0.001125,1
11,5.75,7.5,0.00175,0.00175,1
9.25,7.5,4,0.001125,0.003,1
11,4,9.25,0.00175,0.00175,1
7.5,9.25,11,0.00175,0.0005,1
11,9.25,11,0.001125,0.00175,1
9.25,4,5.75,0.00175,0.0005,1
11,7.5,7.5,0.001125,0.00175,1
11,4,4,0.00175,0.001125,1
9.25,11,7.5,0.00175,0.001125,1
11,11,9.25,0.0005,0.003,1
9.25,11,7.5,0.00175,0.00175,1
9.25,4,11,0.00175,0.001125,1
11,7.5,5.75,0.001125,0.003,1
9.25,7.5,11,0.001125,0.00175,1
11,5.75,5.75,0.001125,0.003,1
9.25,11,9.25,0.00175,0.002375,1
11,9.25,9.25,0.0005,0.003,1
11,4,9.25,0.001125,0.00175,1
9.25,4,9.25,0.00175,0.0005,1
9.25,7.5,9.25,0.00175,0.00175,1
9.25,5.75,4,0.001125,0.003,1
11,11,7.5,0.00175,0.002375,1
11,11,11,0.001125,0.0005,1
11,9.25,9.25,0.00175,0.001125,1
9.25,4,5.75,0.00175,0.00175,1
9.25,9.25,7.5,0.001125,0.00175,1
9.25,4,4,0.00175,0.00175,1
11,9.25,4,0.001125,0.00175,1
7.5,9.25,9.25,0.001125,0.00175,1
5.75,9.25,11,0.001125,0.003,1
11,11,9.25,0.00175,0.002375,1
9.25,11,9.25,0.00175,0.003,1
11,5.75,9.25,0.00175,0.00175,1
4,11,11,0.001125,0.003,1
11,11,11,0.00175,0.003,1
11,11,7.5,0.001125,0.003,1
5.75,9.25,11,0.001125,0.00175,1
9.25,11,4,0.001125,0.003,1
11,4,7.5,0.00175,0.001125,1
11,9.25,7.5,0.001125,0.00175,1
5.75,9.25,9.25,0.001125,0.003,1
9.25,5.75,5.75,0.001125,0.003,1
